year,station_id,station_name,location,org_1_id,org_1_name,org_2_id,org_2_name,official_start,superintendent,num_teachers_others,num_students,property_value,total_income,total_expenditure,surplus_deficit,notes,source
1826,S08,Caney Creek Mission,,O015,SSCGA - Synod of South Carolina & Georgia,O018,CHIC - Chicasaws,,Hugh L. Wilson,6,,691.82,,1604.3,,,"OIA Microfilm 234:773, 480"
1826,S041,Martyn Mission,,O015,SSCGA - Synod of South Carolina & Georgia,O018,CHIC - Chicasaws,,Willam C. Blair,2,16,,,,,,"OIA Microfilm 234:773, 480"
1824,S056,Passamaquoddy Mission,"Indian Point, Perry, Maine",O014,"SPGIONA - Society for the Propagation of the Gospel, the Indians and Others in North America",O009,MMS - Massachusetts Missionary Society,1824,Elijah Kellogg,1,60,350,233.33,233.33,0,,"OIA Microfilm 234:772, 135"
1820,S018,Elliott Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,,Cyrus Kingsbury,10,80,11478,11987.86,12105.85,,,"OIA Microfilm 271:3, 399"
1821,S06,Brainerd Mission,Cherokee Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,,Ard Hoyt,31,96,14212,9175.37,,,,"OIA Microfilm 271:3, 949"
1821,S017,Dwight Mission,"Cherokee Nation, Arkansas Territory",O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1820,,,0,,,,-18000,approx. deficit,"OIA Microfilm 271:3, 918"
1822,S051,Bethel Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,1821,Cyrus Kingsbury,2,15,,744.89,668.26,,"Reported as ""Newell""","OIA Microfilm 271:4, 709"
1822,S017,Dwight Mission,"Cherokee Nation, Arkansas Territory",O001,ABCFM - American Board of Commissioners for Foreign Missions,,,,Alfred Finney; Cephas Washburn,9,50,9655.31,17143.01,16499.4,-643.61,,"OIA Microfilm 271:4, 103"
1822,S018,Elliott Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,,Cyrus Kingsbury,,81,21271,13233.98,9735.88,3488.1,,"OIA Microfilm 271:4, 701"
1822,S019,Emmaus Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,,Cyrus Kingsbury,2,0,,,,,"Mission is not yet started and is unnamed, but buildings have been acquired","OIA Microfilm 271:4, 709"
1822,S043,Mayhew Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,,Cyrus Kingsbury,9,47,15962,15562.1,15706.92,2045.52,,"OIA Microfilm 271:4, 704"
1823,S051,Bethel Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,,Cyrus Kingsbury,,25,4500,1606.92,1967.77,,,"OIA Microfilm 271:4, 679"
1823,S017,Dwight Mission,"Cherokee Nation, Arkansas Territory",O001,ABCFM - American Board of Commissioners for Foreign Missions,,,,Alfred Finney; Cephas Washburn,,60,,520,8261.03,,property seriously damaged by flooding,"OIA Microfilm 271:4, 564"
1823,S018,Elliott Mission,Choctaw Nation,O001,ABCFM - American Board of Commissioners for Foreign Missions,,,,Cyrus Kingsbury,,44,22176,10993.93,8276.13,,,"OIA Microfilm 271:4, 675"
