person_id,name,gender,title,ethnicity,note
P0001,Rebecca Conant Sacket,F,,,"Wife, Leander Sacket"
P0002,Julia Sarah Eggleston Stevens,F,,,"Wife, Jedediah Dwight Stevens"
P0003,Phoebe Tappen Conger,F,,,"Wife, Abijah Conger"
P0004,Phebe Beach Redfield,F,,,"Wife, Abraham Redfield"
P0005,Harriet Ellsworth Blunt,F,,,"Wife, Ainsworth E. Blunt; Sister, John Clark Ellsworth; Sister, Frederic Ellsworth"
P0006,Mary Foster Woodruff,F,,,"Wife, Alexander Woodruff"
P0007,Susanna Washburn Finney,F,,,"Wife, Alfred Finney"
P0008,Harriett Bunce Wright,F,,,"Wife, Alfred Wright"
P0009,Roxana Stearns Jones,F,,,"Wife, Amasa Jones"
P0010,Bethiah Williams Tracy Gleason,F,,,"Wife, Anson Gleason"
P0011,Esther Booth Hoyt,F,,,"Wife, Ard Hoyt"
P0013,[Mrs. Augustus T.] Ambler,F,,,"Wife, Augustus T. Ambler"
P0014,Lucia F. Howell Pixley,F,,,"Wife, Benton Pixley"
P0015,Laura Bardwell Cushman,F,,,"Wife, Calvin Cushman; Sister, Elijah Bardwell"
P0016,Abigail Woodward Washburn,F,,,"Wife, Cephas Washburn"
P0017,Sophia Nye Byington,F,,,"Wife, Cyrus Byington"
P0018,Sarah Bowdoin Varnum Kingsbury,F,,,"Wife, Cyrus Kingsbury"
P0019,Elizabeth Proctor Butrick,F,,,"Wife, Daniel S. Butrick"
P0020,Betsy Putnam Gage,F,,,"Wife, David Gage"
P0021,Lucinda Washburn Wright,F,,,"Wife, David Wright"
P0022,Lavina Howes Bardwell,F,,,"Wife, Elijah Bardwell"
P0023,Esther Post Butler,F,,,"Wife, Elizur Butler"
P0024,Sarah Coleman Dean,F,,,"Wife, Erastus Dean"
P0025,Electa Brooks Bosworth,F,,,"Wife, Fenner Bosworth"
P0026,[Mrs. Frederic] Coleman Ellsworth,F,,,"Wife, Frederic Ellsworth; Sister, Sarah Coleman Dean"
P0027,Mary Harmon Austin Requa,F,,,"Wife, George Requa"
P0028,Eliza Huntington Lathrop Weed,F,,,"Wife, George L. Weed"
P0029,Sarah W. Christie Clark,F,,,"Wife, Gilman Clark"
P0030,Catharine Wheeler Bradley,F,,,"Wife, Hanover Bradley"
P0031,Philena Griffin Parker,F,,,"Wife, Henry Parker"
P0032,Ethalinda Hall Wilson,F,,,"Wife, Hugh Wilson"
P0033,Fanny Amsden Proctor,F,,,"Wife, Isaac Proctor"
P0034,Lucia Badger Van Tassel,F,,,"Wife, Isaac Van Tassel"
P0035,Elizabeth Dodd Kanouse,F,,,"Wife, John G. Kanouse"
P0036,Nancy Brown Hitchcock,F,,,"Wife, Jacob Hitchcock"
P0037,Sarah Anna Van Wagenen Holmes,F,,,"Wife, James Holmes"
