person_id_1,relationship,person_id_2,year,source
P0086,Daughter,P0153,,*confirmed relationship via supplementary research
P0087,Daughter,P0153,,*confirmed relationship via supplementary research
P0166,Sister,P0180,,*confirmed relationship via supplementary research
P0003,Wife,P0128,,*confirmed relationship via supplementary research
P0005,Wife,P0131,,*confirmed relationship via supplementary research
P0007,Wife,P0135,,*confirmed relationship via supplementary research
P0010,Wife,P0152,,*confirmed relationship via supplementary research
P0011,Wife,P0153,,*confirmed relationship via supplementary research
P0411,Wife,P0154,,*confirmed relationship via supplementary research
P0015,Wife,P0161,,*confirmed relationship via supplementary research
P0016,Wife,P0167,,*confirmed relationship via supplementary research
P0404,Wife,P0174,,*confirmed relationship via supplementary research
P0018,Wife,P0174,,*confirmed relationship via supplementary research
P0405,Wife,P0183,,*confirmed relationship via supplementary research
P0023,Wife,P0204,,*confirmed relationship via supplementary research
P0024,Wife,P0209,,*confirmed relationship via supplementary research
P0026,Wife,P0218,,*confirmed relationship via supplementary research
P0031,Wife,P0238,,*confirmed relationship via supplementary research
P0036,Wife,P0255,,*confirmed relationship via supplementary research
P0038,Wife,P0260,,*confirmed relationship via supplementary research
P0046,Wife,P0281,,*confirmed relationship via supplementary research
P0045,Wife,P0279,,*confirmed relationship via supplementary research
P0051,Wife,P0300,,*confirmed relationship via supplementary research
P0054,Wife,P0307,,*confirmed relationship via supplementary research
P0061,Wife,P0341,,*confirmed relationship via supplementary research
P0060,Wife,P0340,,*confirmed relationship via supplementary research
P0066,Wife,P0352,,*confirmed relationship via supplementary research
P0070,Wife,P0368,,*confirmed relationship via supplementary research
P0408,Wife,P0382,,*confirmed relationship via supplementary research
P0078,Wife,P0383,,*confirmed relationship via supplementary research
P0073,Wife,P0373,,*confirmed relationship via supplementary research
P0079,Wife,P0385,,*confirmed relationship via supplementary research
P0081,Wife,P0388,,*confirmed relationship via supplementary research
P0059,Wife,P0339,,*confirmed relationship via supplementary research
P0057,Wife,P0318,,*confirmed relationship via supplementary research
P0062,Wife,P0342,,*confirmed relationship via supplementary research
P0403,Wife,P0387,,*confirmed relationship via supplementary research
P0014,Wife,P0159,,*confirmed relationship via supplementary research
P0041,Wife,P0270,,*confirmed relationship via supplementary research
P0009,Wife,P0140,,*confirmed relationship via supplementary research
P0056,Wife,P0314,,*confirmed relationship via supplementary research
P0028,Wife,P0225,,*confirmed relationship via supplementary research
P0353,Present at Same Location,P0045,1823,*estimated based on both people being present at the same location in the same calendar year
P0153,Present at Same Location,P0045,1823,*estimated based on both people being present at the same location in the same calendar year
P0204,Present at Same Location,P0045,1823,*estimated based on both people being present at the same location in the same calendar year
P0269,Present at Same Location,P0045,1823,*estimated based on both people being present at the same location in the same calendar year
P0281,Present at Same Location,P0045,1823,*estimated based on both people being present at the same location in the same calendar year
P0209,Present at Same Location,P0045,1823,*estimated based on both people being present at the same location in the same calendar year
P0128,Present at Same Location,P0045,1823,*estimated based on both people being present at the same location in the same calendar year
P0131,Present at Same Location,P0045,1823,*estimated based on both people being present at the same location in the same calendar year
P0178,Present at Same Location,P0045,1823,*estimated based on both people being present at the same location in the same calendar year
P0279,Present at Same Location,P0045,1823,*estimated based on both people being present at the same location in the same calendar year
P0369,Present at Same Location,P0045,1823,*estimated based on both people being present at the same location in the same calendar year
P0341,Present at Same Location,P0131,1828,*estimated based on both people being present at the same location in the same calendar year
P0348,Present at Same Location,P0131,1828,*estimated based on both people being present at the same location in the same calendar year
P0300,Present at Same Location,P0131,1828,*estimated based on both people being present at the same location in the same calendar year
P0279,Present at Same Location,P0131,1828,*estimated based on both people being present at the same location in the same calendar year
P0281,Present at Same Location,P0131,1828,*estimated based on both people being present at the same location in the same calendar year
P0238,Present at Same Location,P0131,1828,*estimated based on both people being present at the same location in the same calendar year
P0421,Present at Same Location,P0131,1828,*estimated based on both people being present at the same location in the same calendar year
P0291,Present at Same Location,P0209,1825,*estimated based on both people being present at the same location in the same calendar year
P0281,Present at Same Location,P0209,1825,*estimated based on both people being present at the same location in the same calendar year
P0348,Present at Same Location,P0209,1825,*estimated based on both people being present at the same location in the same calendar year
P0238,Present at Same Location,P0209,1825,*estimated based on both people being present at the same location in the same calendar year
P0131,Present at Same Location,P0046,1828,*estimated based on both people being present at the same location in the same calendar year
P0341,Present at Same Location,P0046,1828,*estimated based on both people being present at the same location in the same calendar year
P0348,Present at Same Location,P0046,1828,*estimated based on both people being present at the same location in the same calendar year
P0300,Present at Same Location,P0046,1828,*estimated based on both people being present at the same location in the same calendar year
P0279,Present at Same Location,P0046,1828,*estimated based on both people being present at the same location in the same calendar year
P0281,Present at Same Location,P0046,1828,*estimated based on both people being present at the same location in the same calendar year
P0238,Present at Same Location,P0046,1828,*estimated based on both people being present at the same location in the same calendar year
P0061,Present at Same Location,P0046,1828,*estimated based on both people being present at the same location in the same calendar year
P0051,Present at Same Location,P0046,1828,*estimated based on both people being present at the same location in the same calendar year
P0421,Present at Same Location,P0046,1828,*estimated based on both people being present at the same location in the same calendar year
P0377,Present at Same Location,P0178,1821,*estimated based on both people being present at the same location in the same calendar year
P0307,Present at Same Location,P0178,1821,*estimated based on both people being present at the same location in the same calendar year
P0204,Present at Same Location,P0178,1821,*estimated based on both people being present at the same location in the same calendar year
P0279,Present at Same Location,P0178,1821,*estimated based on both people being present at the same location in the same calendar year
P0369,Present at Same Location,P0178,1821,*estimated based on both people being present at the same location in the same calendar year
P0348,Present at Same Location,P0341,1828,*estimated based on both people being present at the same location in the same calendar year
P0421,Present at Same Location,P0341,1828,*estimated based on both people being present at the same location in the same calendar year
P0209,Present at Same Location,P0131,1825,*estimated based on both people being present at the same location in the same calendar year
P0291,Present at Same Location,P0131,1825,*estimated based on both people being present at the same location in the same calendar year
P0281,Present at Same Location,P0131,1825,*estimated based on both people being present at the same location in the same calendar year
P0348,Present at Same Location,P0131,1825,*estimated based on both people being present at the same location in the same calendar year
P0238,Present at Same Location,P0131,1825,*estimated based on both people being present at the same location in the same calendar year
P0377,Present at Same Location,P0307,1821,*estimated based on both people being present at the same location in the same calendar year
P0369,Present at Same Location,P0307,1821,*estimated based on both people being present at the same location in the same calendar year
P0368,Present at Same Location,P0279,1819,*estimated based on both people being present at the same location in the same calendar year
P0421,Present at Same Location,P0281,1830,*estimated based on both people being present at the same location in the same calendar year
P0297,Present at Same Location,P0281,1830,*estimated based on both people being present at the same location in the same calendar year
P0300,Present at Same Location,P0281,1830,*estimated based on both people being present at the same location in the same calendar year
P0178,Present at Same Location,P0023,1821,*estimated based on both people being present at the same location in the same calendar year
P0377,Present at Same Location,P0023,1821,*estimated based on both people being present at the same location in the same calendar year
P0307,Present at Same Location,P0023,1821,*estimated based on both people being present at the same location in the same calendar year
P0070,Present at Same Location,P0023,1821,*estimated based on both people being present at the same location in the same calendar year
P0087,Present at Same Location,P0023,1821,*estimated based on both people being present at the same location in the same calendar year
P0086,Present at Same Location,P0023,1821,*estimated based on both people being present at the same location in the same calendar year
P0054,Present at Same Location,P0023,1821,*estimated based on both people being present at the same location in the same calendar year
P0153,Present at Same Location,P0023,1821,*estimated based on both people being present at the same location in the same calendar year
P0204,Present at Same Location,P0023,1821,*estimated based on both people being present at the same location in the same calendar year
P0279,Present at Same Location,P0023,1821,*estimated based on both people being present at the same location in the same calendar year
