station_id,person_id,year,role,notes,source
S06,P0045,1817,Present,,"Missionary Herald, vol.16 (1820), 269"
S06,P0279,1817,Present,,"Missionary Herald, vol.16 (1820), 269"
S018,P0035,1818,Present,,"Missionary Herald, vol.16 (1820), 31"
S018,P0174,1818,Present,,"Missionary Herald, vol.16 (1820), 31"
S018,P0250,1818,Present,,"Missionary Herald, vol.16 (1820), 31"
S018,P0322,1818,Present,,"Missionary Herald, vol.16 (1820), 31"
S06,P0045,1818,Present,,"Missionary Herald, vol.16 (1820), 269"
S06,P0279,1818,Present,,"Missionary Herald, vol.16 (1820), 269"
S06,P0011,1818,Present,,"Missionary Herald, vol.16 (1820), 269"
S06,P0070,1818,Present,,"Missionary Herald, vol.16 (1820), 269"
S06,P0153,1818,Present,,"Missionary Herald, vol.16 (1820), 269"
S06,P0368,1818,Present,,"Missionary Herald, vol.16 (1820), 269"
S018,P0424,1819,Present,,"Joseph Tracy, History of American Missions to the Heathen, from Their Commencement to the Present Time (Worcester: Spooner & Howland, 1840), 339"
S018,P0426,1819,Present,,"Joseph Tracy, History of American Missions to the Heathen, from Their Commencement to the Present Time (Worcester: Spooner & Howland, 1840), 339"
S018,P0035,1819,Present,,"Missionary Herald, vol.16 (1820), 31"
S018,P0174,1819,Present,,"Missionary Herald, vol.16 (1820), 31"
S018,P0250,1819,Present,,"Missionary Herald, vol.16 (1820), 31"
S018,P0322,1819,Present,,"Missionary Herald, vol.16 (1820), 31"
S018,P0018,1819,Present,,"Missionary Herald, vol.16 (1820), 31"
S018,P0113,1819,Present,,"Missionary Herald, vol.16 (1820), 31"
S018,P0244,1819,Present,,"Missionary Herald, vol.16 (1820), 31"
S018,P0388,1819,Present,,"Missionary Herald, vol.16 (1820), 31"
S018,P0309,1819,Present,,"OIA Microfilm 271:3, 392"
S06,P0045,1819,Present,,"Missionary Herald, vol.16 (1820), 269"
S06,P0279,1819,Present,,"Missionary Herald, vol.16 (1820), 269"
S06,P0011,1819,Present,,"Missionary Herald, vol.16 (1820), 269"
S06,P0070,1819,Present,,"Missionary Herald, vol.16 (1820), 269"
S06,P0153,1819,Present,,"Missionary Herald, vol.16 (1820), 269"
S06,P0368,1819,Present,,"Missionary Herald, vol.16 (1820), 269"
S00,P0179,1820,"Son, Ard Hoyt",,"Missionary Herald, vol.16 (1820), 272"
S00,P0301,1820,"Cherokee, Married Milo Hoyt",,"Missionary Herald, vol.16 (1820), 272"
S00,P0306,1820,"Son, Ard Hoyt",,"Missionary Herald, vol.16 (1820), 272"
S013,P0180,1820,Assistant,,"Missionary Herald, vol.16 (1820), 272"
S016,P0166,1820,Visiting,,"Missionary Herald, vol.16 (1820), 272"
S016,P0178,1820,Teacher,,"Missionary Herald, vol.16 (1820), 272"
S016,P0180,1820,Visiting,,"Missionary Herald, vol.16 (1820), 272"
S016,P0269,1820,Assistant,,"Missionary Herald, vol.16 (1820), 272"
S017,P0135,1820,Present,,"Missionary Herald, vol.16 (1820), 280"
S017,P0167,1820,Present,,"Missionary Herald, vol.16 (1820), 280"
S017,P0258,1820,Present,,"Missionary Herald, vol.16 (1820), 280"
S017,P0260,1820,Present,,"Missionary Herald, vol.16 (1820), 280"
S018,P0417,1820,Present,,"Joseph Tracy, History of American Missions to the Heathen, from Their Commencement to the Present Time (Worcester: Spooner & Howland, 1840), 336"
S018,P0418,1820,Present,,"Joseph Tracy, History of American Missions to the Heathen, from Their Commencement to the Present Time (Worcester: Spooner & Howland, 1840), 336"
S018,P0035,1820,Present,,"Missionary Herald, vol.16 (1820), 31"
S018,P0174,1820,Superintendent,,"Missionary Herald, vol.16 (1820), 31"
S018,P0250,1820,Carpenter,,"Missionary Herald, vol.16 (1820), 31"
S018,P0322,1820,Blacksmith,,"Missionary Herald, vol.16 (1820), 31"
S018,P0018,1820,Present,Mrs. Kingsbury 1 died in 1822,"Missionary Herald, vol.16 (1820), 31"
S018,P0113,1820,Present,,"Missionary Herald, vol.16 (1820), 31"
S018,P0244,1820,Blacksmith,,"Missionary Herald, vol.16 (1820), 31"
S018,P0388,1820,Physician,,"Missionary Herald, vol.16 (1820), 31"
S018,P0309,1820,Mechanic (Carpenter and Millwright) and Manager of Plantation,,"OIA Microfilm 271:3, 392"
S018,P0040,1820,Present,,"OIA Microfilm 271:3, 392"
S018,P0050,1820,Present,,"OIA Microfilm 271:3, 392"
S018,P0055,1820,Present,,"OIA Microfilm 271:3, 392"
S018,P0137,1820,Missionary,,"OIA Microfilm 271:3, 392"
S018,P0146,1820,Present,,"OIA Microfilm 271:3, 392"
S018,P0151,1820,Steward,,"OIA Microfilm 271:3, 392"
S018,P0267,1820,Assistant Missionary,,"OIA Microfilm 271:3, 392"
S018,P0296,1820,Teacher,,"OIA Microfilm 271:3, 392"
S018,P0391,1820,Laborer,,"OIA Microfilm 271:3, 392"
S059,P0274,1820,Superintendent,,"Missionary Herald, vol.16 (1820), 271"
S06,P0045,1820,Present,,"Missionary Herald, vol.16 (1820), 269"
S06,P0279,1820,Present,,"Missionary Herald, vol.16 (1820), 269"
S06,P0011,1820,Present,,"Missionary Herald, vol.16 (1820), 269"
S06,P0070,1820,Present,,"Missionary Herald, vol.16 (1820), 269"
S06,P0153,1820,Superintendent,,"Missionary Herald, vol.16 (1820), 269"
S06,P0368,1820,Present,,"Missionary Herald, vol.16 (1820), 269"
S06,P0054,1820,Present,,"Missionary Herald, vol.16 (1820), 269"
S06,P0178,1820,Present,,"Missionary Herald, vol.16 (1820), 269"
S06,P0222,1820,Apprentice,,"Missionary Herald, vol.16 (1820), 269"
S06,P0301,1820,"Cherokee, Married Milo Hoyt",,"Missionary Herald, vol.16 (1820), 269"
S06,P0306,1820,"Son, Ard Hoyt",,"Missionary Herald, vol.16 (1820), 269"
S06,P0307,1820,Present,,"Missionary Herald, vol.16 (1820), 269"
S061,P0054,1820,Present,,"Missionary Herald, vol.16 (1820), 271"
S061,P0307,1820,Teacher,,"Missionary Herald, vol.16 (1820), 271"
S017,P0135,1821,Missionary,,"OIA Microfilm 271:3, 921"
S017,P0167,1821,Missionary,,"OIA Microfilm 271:3, 921"
S018,P0040,1821,Present,Estimated based on documentary evidence,*estimated based on various forms of documentary evidence
S044,P0358,1821,Superintendent,,"OIA Microfilm 271:3, 1015"
S06,P0003,1821,Present,,"OIA Microfilm 271:3, 949"
S06,P0011,1821,Present,,"OIA Microfilm 271:3, 949"
S06,P0023,1821,Present,,"OIA Microfilm 271:3, 949"
S06,P0045,1821,Present,,"OIA Microfilm 271:3, 949"
S06,P0054,1821,Present,,"OIA Microfilm 271:3, 949"
S06,P0070,1821,Present,,"OIA Microfilm 271:3, 949"
S06,P0074,1821,Teacher,,"OIA Microfilm 271:3, 949"
S06,P0086,1821,Present,,"OIA Microfilm 271:3, 949"
S06,P0087,1821,Present,,"OIA Microfilm 271:3, 949"
S06,P0128,1821,Mechanic,,"OIA Microfilm 271:3, 949"
S06,P0153,1821,Superintendent,,"OIA Microfilm 271:3, 949"
S06,P0178,1821,Missionary,,"OIA Microfilm 271:3, 949"
S06,P0204,1821,Physician,,"OIA Microfilm 271:3, 949"
S06,P0279,1821,Farmer,,"OIA Microfilm 271:3, 949"
S06,P0307,1821,Teacher,,"OIA Microfilm 271:3, 949"
S06,P0369,1821,Principal Teacher,,"OIA Microfilm 271:3, 949"
S06,P0377,1821,Teacher,,"OIA Microfilm 271:3, 949"
S067,P0078,1821,Present,,"OIA Microfilm 271:3, 1023"
S067,P0129,1821,Present,,"OIA Microfilm 271:3, 1023"
S067,P0208,1821,Missionary,,"OIA Microfilm 271:3, 1023"
S067,P0382,1821,Present,,"OIA Microfilm 271:3, 1023"
S067,P0383,1821,Superintendent,,"OIA Microfilm 271:3, 1023"
S017,P0007,1822,Teacher,,"OIA Microfilm 271:4, 103"
S017,P0016,1822,Teacher,,"OIA Microfilm 271:4, 103"
S017,P0036,1822,Teacher,,"OIA Microfilm 271:4, 103"
S017,P0038,1822,Teacher,,"OIA Microfilm 271:4, 103"
S017,P0135,1822,Minister of the Gospel and Superintendent,,"OIA Microfilm 271:4, 103"
S017,P0167,1822,Minister of the Gospel and Superintendent,,"OIA Microfilm 271:4, 103"
S017,P0205,1822,Teacher and Seamstress,,"OIA Microfilm 271:4, 103"
