station_id,name,alt_names,tribe,additional_tribe,state,county,lat,lon,confidence level,historic_name,official_start,notes
S09,Carey Mission,,Anishinaabe,,MI,Berrien,41.8275,-86.283033,absolute,"""Joseph River, 25 miles from Lake Michigan, among the Potawatomi Indians""",1817,"coordinates from HMDB: https://www.hmdb.org/m.asp?m=68473; confirmed from BLM GLO record Michigan 7 S 17 W (supplemental, allocated for University of Michigan: https://glorecords.blm.gov/details/survey/default.aspx?dm_id=27750&sid=mqcxpwhp.win#surveyDetailsTabIndex=1)"
S020,Episcopal Green Bay Mission,,Anishinaabe,Menominee,WI,Brown,44.478817,-88.02805,absolute,,,coordinates from HMDB historical marker (https://www.hmdb.org/m.asp?m=68040)
S023,Fort Gratiot Mission,,Anishinaabe,,MI,St. Clair,42.995483,-82.427933,absolute,,,"coordinates from HMDB (https://www.hmdb.org/m.asp?m=212535); periodical confirms school was begun within the confines of the fort itself after missionaries diverted, Ft. Gratiot following a steamship disaster (https://www.google.com/books/edition/Plain_Truth/BHB8dkY3KbEC?hl=en&gbpv=1&dq=john+s.+hudson+fort+gratiot&pg=PA74&printsec=frontcover)"
S025,Fox River Mission,,Anishinaabe,,IL,LaSalle,41.49001266,-88.68324478,within 1 mi,,,"coordinates from location of mouth of Mission Creek at Fox River (see: https://www.google.com/books/edition/History_of_LaSalle_County_Illinois/97nILtwBHT0C?hl=en&gbpv=1&dq=%22mission+creek%22+fox+river&pg=PA424&printsec=frontcover), starting 1826; mission moved in its prior years (1824, Fort Clark [Peoria], 1825, mouth of Fox River, then 20 miles up the river when it was expanded, school erected, made permanent [https://www.google.com/books/edition/The_Origin_and_History_of_Missions/7hRPAAAAYAAJ?hl=en&gbpv=1&dq=jesse%20walker%20fox%20river%20mission&pg=PA523&printsec=frontcover])"
S040,Mackinac Mission,,Anishinaabe,,MI,Mackinac,45.8502472,-84.6082163,absolute,"""Michillimackinac""",1821,"coordinates from https://www.hmdb.org/m.asp?m=34913, made more specific using Google Maps"
S042,Maumee Mission,,Anishinaabe,,OH,Wood,41.46451476,-83.74794024,within 1 mi,"""Ebenezer on the Maumee River, Ohio""",1822,"coordinates from ruined house (possibly the original mission house) across from Missionary Island at Tontogany Creek (see: https://www.watervillehistory.org/featured-stories/2021/1/10/the-big-island; https://www.researchgate.net/publication/338914840_WHEN_WAR_UNDER_HEAVEN_ENDED_TRACKING_PONTIAC'S_AND_ATAWANG'S_BANDS_OF_ODAWA_AND_OJIBWA_IN_OHIO_WALPOLE_ISLAND_CANADA_KANSAS_AND_OKLAHOMA/link/5e32c3f1299bf1cdb9fd2943/download?_tp=eyJjb250ZXh0Ijp7ImZpcnN0UGFnZSI6InB1YmxpY2F0aW9uIiwicGFnZSI6InB1YmxpY2F0aW9uIn19), see also: https://www.academia.edu/6789222/The_Fry_Site_Archaeological_and_Ethnohistorical_Perspectives_of_the_Maumee_River_Ottawa_of_Northwest_Ohio"
S063,Thomas Mission,,Anishinaabe,,MI,Kent,42.97027695,-85.67609902,absolute,"""St Joseph river, Michigan"" Ottawas",1817,"coordinates from description ""the Thomas mission, south of West Bridge street and west of Front avenue"" (https://www.migenweb.org/kent/etten1926/earlychurches.html), confirmed by BLM GLO survey Toledo Strip 7 N 12 W"
S00,Chattooga Mission,,Cherokee,,AL,Cherokee,34.29556198,-85.50589006,within 3 mi,,,"coordinates estimated from MH Vol. 16, p. 19--""All were agreed, that it would be best, have the school at the place named by the chief, which is on the Chatooga creek, about six or eight miles from Fort Armstrong""; another source says ""20 miles from Will's Town"" (https://www.google.com/books/edition/American_State_Papers/hbWsTT4Mdr0C?hl=en&gbpv=1&dq=willstown+mission+chattooga+-chattanooga&pg=PA446&printsec=frontcover); additional information from Amos J. Wright, Historic Indian Towns in Alabama (p. 29)"
S06,Brainerd Mission,,Cherokee,,TN,Hamilton,35.01000323,-85.2129519,absolute,"""Cherokee Nation, E. Missippi""",1823,coordinates retrieved from Brainerd Mission Cemetery Marker on Google Maps
S07,Candy's Creek Mission,,Cherokee,,TN,Bradley,35.21249366,-84.87614239,within 1 mi,,,coordinates retrieved from Candies Creek Ridge on Google Maps
S016,Creekpath Mission,,Cherokee,,AL,Marshall,34.32406,-86.33364,within 1 mi,"""Cherokee Nation, E. Missippi""",1823,"coordinates estimated from 1900 Marshall Co. map (http://cartweb.geography.ua.edu/lizardtech/iserv/calcrgn?cat=North%20America%20and%20United%20States&item=States/Alabama/Counties/marshall/Marshall1900a.sid&wid=1000&hei=900&props=item(Name,Description),cat(Name,Description)&style=simple/view-dhtml.xsl), compared with BLM GLO records Huntsville 8 S 3 E (location matching possible due, Jackson's Trail); cf. Amos Wright, 58-59 (thinks underwater, but doesn't match historical maps); see also: MH Vol. 22, p. 2--""One hundred miles W. S. W. of Brainerd, within the chartered limits of Alabama"""
